,MANDAL,VILLAGE,S.NO,SURVEY NO.,EXTENT (UNIT),NOTIFICATION NUMBER,NOTIFICATION DATE,OTHER REFERENCE
15,THAVANAMPALLE,ARAGONDA,16.0,'1/22A,0.34(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
16,THAVANAMPALLE,ARAGONDA,17.0,'1/22B,0.35(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
17,THAVANAMPALLE,ARAGONDA,18.0,'1/23,0.37(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
18,THAVANAMPALLE,ARAGONDA,19.0,'1/24,0.1(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
19,THAVANAMPALLE,ARAGONDA,20.0,'1/25,0.12(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
20,THAVANAMPALLE,ARAGONDA,21.0,'1/26,0.79(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
21,THAVANAMPALLE,ARAGONDA,22.0,'1/27,1.43(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
22,THAVANAMPALLE,ARAGONDA,23.0,'1/28,1.26(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
23,THAVANAMPALLE,ARAGONDA,24.0,'1/29,0.1(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
24,THAVANAMPALLE,ARAGONDA,25.0,'1/30,0.37(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
25,THAVANAMPALLE,ARAGONDA,26.0,'1/31,0.2(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
26,THAVANAMPALLE,ARAGONDA,27.0,'1/32,2.24(A),G1/869/2015,2016-07-18 '00:00:00,"DISTRICT REGISTRAR,CHITTOOR"
